text,date,newspaper,likes,retweets,lang,period
"Lee Mendelson, an Emmy Award-winning producer who brought the holiday classic ""A Charlie Brown Christmas"" to TV in 1965 and wrote the iconic lyrics to ""Christmas Time Is Here"" died on Christmas morning. He was 86.
https://t.co/RFjbo5iIpD",2019-12-29 16:40:05+00:00,nytimes,1180,303,en,precovid
"Ukraine swapped dozens of prisoners on Sunday with Russian-backed separatists, the latest sign of a tenuous thaw in relations between the 2 countries
https://t.co/HY39BslW9F",2019-12-29 16:20:04+00:00,nytimes,168,61,en,precovid
"A federal judge sided with Georgia's removal of nearly 100,000 names from the state's voter rolls on Friday
https://t.co/cioObhrZge",2019-12-29 16:00:11+00:00,nytimes,130,74,en,precovid
"China’s demand for sea cucumbers has brought economic benefits to the Liaodong Peninsula, which is famous for the delicacy. But over the course of a few decades, that demand has also depleted the region's natural stocks.
https://t.co/TlMb6wdsy4",2019-12-29 15:44:06+00:00,nytimes,149,67,en,precovid
"Joe Biden now says he would comply with a Senate subpoena in President Trump's impeachment trial if issued, in one of the starkest and swiftest reversals by a candidate in the Democratic primary campaign
https://t.co/e9WYrjArPw",2019-12-29 15:20:08+00:00,nytimes,528,139,en,precovid
"Russian and Syrian forces have bombed hospitals and humanitarian sites on a UN no-strike list in Syria with impunity. The system is marred by internal errors, our investigation found. And relief groups are giving up hope.
https://t.co/6fafTOXIuS",2019-12-29 15:00:11+00:00,nytimes,313,222,en,precovid
"Breaking News: A man stabbed 5 people at a Hasidic rabbi’s suburban New York home during a Hanukkah celebration. A suspect was arrested and Governor Cuomo called the attack “domestic terrorism.”
https://t.co/0srkln7MCN",2019-12-29 14:35:45+00:00,nytimes,2282,1040,en,precovid
"Millions of people in California are now seeing notices that say ""Do Not Sell My Personal Information"" or just ""Do Not Sell My Info."" But what those messages mean depends on which company you ask.
https://t.co/gWcYRaJMsp",2019-12-29 14:20:06+00:00,nytimes,219,84,en,precovid
"Elaborating on his earlier remarks that he wouldn't comply with a subpoena to testify in President Trump’s impeachment trial, Joe Biden said on Saturday there wouldn't be “any legal basis” for such a subpoena
https://t.co/Q5OwzKh7fR",2019-12-29 13:00:07+00:00,nytimes,193,41,en,precovid
Knowing how to comfort someone who is recovering from the loss of a loved one may not come naturally. Here's what to say (and what not to say). https://t.co/E70aHw0xfA,2019-12-29 12:00:28+00:00,nytimes,684,209,en,precovid
"A classic at a fancy breakfast or brunch, the best broiled grapefruits have a glossy caramelized topping covering sections of the warm, juicy citrus https://t.co/b9fsl59hWJ",2019-12-29 11:30:05+00:00,nytimes,358,56,en,precovid
"Action Park in New Jersey was infamous for bruises, scars, broken bones — even death. Now it is the subject of a documentary. https://t.co/6Hux8K2bDp",2019-12-29 11:02:14+00:00,nytimes,534,114,en,precovid
"In Opinion

Dr. Danielle Ofri writes, “The demands on medical professionals have escalated relentlessly in the past few decades, without a commensurate expansion of time and resources.” https://t.co/FJOHJKpq2r",2019-12-29 10:31:09+00:00,nytimes,284,123,en,precovid
"The Russian military said it had deployed a hypersonic weapon that flies at superfast speeds and can easily evade U.S. missile defense systems, potentially setting off a new chapter in the long arms race between the world’s pre-eminent nuclear powers https://t.co/EoKYB2WCD8",2019-12-29 10:00:07+00:00,nytimes,421,308,en,precovid
"“It’s flash acidification, and it transformed ecosystems for millions of years,” a biogeochemist at Yale and one of the study’s authors said. “We were shocked that we actually found this.” https://t.co/u4JGbu4aKN",2019-12-29 09:30:33+00:00,nytimes,1569,534,en,precovid
"A majority of Labradoodles “are either crazy or have a hereditary problem,"" the creator of the breed said earlier this year. https://t.co/fbbCVSkf8t",2019-12-29 09:00:15+00:00,nytimes,1600,416,en,precovid
"As it continues to send Muslim ethnic minorities to internment camps and prisons in Xinjiang, the Chinese government has also separated nearly half a million children from their families with the aim of instilling loyalty to China and the Communist Party.
https://t.co/P1UlQurjzp",2019-12-29 08:30:07+00:00,nytimes,694,612,en,precovid
